# minichess opening book export
# format_version	1
# store	book
# db_schema_version	2
# eval_version	1
# rows	92678
# sorted by (fen, rank); no timestamp, so an unchanged book re-exports identically
# fen	ply	rank	move	score	depth	eval_version
3n2/2k2p/B5/6/P5/K1Nr2[br] w	10	1	((2, 0), (5, 3), None)	-970	6	1
3n2/2k2p/B5/6/P5/K1Nr2[br] w	10	2	((4, 0), (3, 0), None)	-1000000	6	1
3n2/2k2p/B5/6/P5/K1Nr2[br] w	10	3	((2, 0), (1, 1), None)	-1000000	6	1
3n2/2k2p/B5/6/P5/K1Nr2[br] w	10	4	((2, 0), (3, 1), None)	-1000000	6	1
3n2/2k2p/B5/6/P5/K1Nr2[br] w	10	5	((2, 0), (0, 2), None)	-1000000	6	1
3n2/2k2p/B5/6/P5/K1Nr2[br] w	10	6	((5, 0), (5, 1), None)	-1000000	6	1
3n2/2k2p/B5/6/PK4/2Nr2[br] b	11	1	((0, 3), (2, 2), None)	-1000000	5	1
3n2/2k2p/B5/P5/1K4/2Nr2[br] b	11	1	((0, 3), (2, 2), None)	-1000000	5	1
3n2/2k2p/B5/P5/6/1KNr2[br] b	11	1	('drop', 'bB'  , (3, 3))	-1000000	8	1
3n2/2k2p/B5/P5/6/K1Nr2[br] b	11	1	((5, 3), (5, 2), None)	-1000000	3	1
3n2/2k2p/B5/P5/6/K1Nr2[br] w	10	1	((2, 0), (5, 3), None)	-594	6	1
3n2/2k2p/B5/P5/6/K1Nr2[br] w	10	2	((5, 0), (5, 1), None)	-2893	6	1
3n2/2k2p/B5/P5/6/K1Nr2[br] w	10	3	((2, 0), (3, 1), None)	-1000000	6	1
3n2/2k2p/B5/P5/6/K1Nr2[br] w	10	4	((2, 0), (1, 1), None)	-1000000	6	1
3n2/2k2p/B5/P5/6/K1Nr2[br] w	10	5	((2, 0), (0, 2), None)	-1000000	6	1
3n2/2k2p/B5/P5/6/K1Nr2[br] w	10	6	((5, 0), (4, 1), None)	-1000000	6	1
3n2/2k2p/B5/P5/K5/2Nr2[br] b	11	1	((5, 3), (5, 2), None)	-1000000	5	1
3n2/2k2p/P5/1B4/6/K1Nr2[br] b	11	1	('drop', 'bB'  , (3, 2))	-1000000	3	1
3n2/2k2p/P5/5B/6/K1Nr2[br] b	11	1	('drop', 'bB'  , (3, 2))	-1000000	3	1
3n2/2k2p/P5/6/4B1/K1Nr2[br] b	11	1	((5, 3), (5, 2), None)	-1000000	5	1
3n2/2kB1p/6/6/P5/K1Nr2[br] b	11	1	('drop', 'bB'  , (3, 2))	-1000000	3	1
3n2/2kB1p/6/P5/6/K1Nr2[br] b	11	1	((5, 3), (5, 2), None)	-1000000	3	1
3n2/2rb1k/5p/1N4/P5/KR3B[] b	11	1	((1, 2), (3, 2), None)	-6	10	1
3n2/2rb1k/5p/3N2/P5/KR3B[] b	11	1	((1, 2), (1, 0), None)	-164	10	1
3n2/2rb1k/5p/6/P3B1/KRN3[] b	11	1	((2, 5), (3, 5), None)	-289	10	1
3n2/2rb1k/5p/6/P3N1/KR3B[] b	11	1	((2, 5), (3, 5), None)	-279	10	1
3n2/2rb1k/5p/6/P5/KRN2B[] w	10	1	((5, 2), (3, 1), None)	-52	6	1
3n2/2rb1k/5p/6/P5/KRN2B[] w	10	2	((5, 5), (4, 4), None)	-80	6	1
3n2/2rb1k/5p/6/P5/KRN2B[] w	10	3	((5, 2), (4, 4), None)	-204	6	1
3n2/2rb1k/5p/6/P5/KRN2B[] w	10	4	((5, 2), (3, 3), None)	-282	6	1
3n2/2rb1k/5p/6/P5/KRN2B[] w	10	5	((5, 5), (0, 0), None)	-282	6	1
3n2/2rb1k/5p/6/P5/KRN2B[] w	10	6	((5, 0), (4, 1), None)	-287	6	1
3n2/2rb1k/5p/6/PK4/1RN2B[] b	11	1	((0, 3), (2, 2), None)	-414	10	1
3n2/2rb1k/6/1N4/P5/KR4[Pb] b	11	1	('drop', 'bB'  , (3, 2))	-669	10	1
3n2/2rb1k/6/3N2/P5/KR4[Pb] b	11	1	((1, 2), (1, 0), None)	-679	10	1
3n2/2rb1k/6/6/P3N1/KR4[Pb] b	11	1	('drop', 'bB'  , (1, 4))	-622	10	1
3n2/2rb1k/6/6/P5/KRN3[Pb] w	10	1	((5, 2), (4, 4), None)	-343	6	1
3n2/2rb1k/6/6/P5/KRN3[Pb] w	10	2	((5, 2), (3, 3), None)	-428	6	1
3n2/2rb1k/6/6/P5/KRN3[Pb] w	10	3	((5, 2), (3, 1), None)	-615	6	1
3n2/2rb1k/6/6/P5/KRN3[Pb] w	10	4	((5, 0), (4, 1), None)	-995	6	1
3n2/2rb1k/6/6/P5/KRN3[Pb] w	10	5	((4, 0), (3, 0), None)	-1091	6	1
3n2/2rb1k/6/6/P5/KRN3[Pb] w	10	6	('drop', 'wP'  , (4, 1))	-1091	6	1
3n2/2rb1k/6/6/PK4/1RN3[Pb] b	11	1	('drop', 'bB'  , (2, 3))	-1716	10	1
3n2/2rb1k/6/6/PP4/KRN3[b] b	11	1	((1, 2), (1, 0), None)	-1362	10	1
3n2/2rb1k/6/P5/6/KRN3[Pb] b	11	1	('drop', 'bB'  , (1, 4))	-2041	10	1
3n2/3B1k/4b1/P3rp/1K4/R1N3[] b	11	1	((2, 4), (1, 3), None)	-2394	10	1
3n2/3B1k/4bp/P3r1/1K4/R1N3[] b	9	1	((2, 4), (1, 3), None)	-3029	10	1
3n2/3B1k/5p/P3r1/1K4/1bN3[r] b	11	1	((5, 1), (2, 4), None)	-2226	10	1
3n2/3B1p/1R2bk/4r1/P5/K5[n] b	9	1	('drop', 'bN'  , (4, 2))	-1000000	10	1
3n2/3B1p/3nbk/4r1/P5/K1R3[] b	11	1	((2, 4), (1, 3), None)	-2993	10	1
3n2/3B1p/4bk/4r1/P5/K1R3[n] b	9	1	((2, 4), (1, 3), None)	-1000000	10	1
3n2/3B1p/4bk/4r1/P5/KR4[n] b	9	1	((2, 4), (5, 1), None)	-1000000	9	1
3n2/3B1p/4kN/4r1/P5/K2B2[r] b	9	1	((2, 4), (2, 5), None)	-2785	10	1
3n2/3Bkp/3b2/2R3/P5/K1Nr2[] b	9	1	((2, 3), (3, 2), None)	-1000000	3	1
3n2/3Bkp/3b2/P1R3/6/K1Nr2[] b	9	1	((2, 3), (3, 2), None)	-1000000	3	1
3n2/3Bkp/5b/6/P1R3/K1Nr2[] b	9	1	((1, 4), (1, 3), None)	-1992	10	1
3n2/3Bkp/6/P3b1/2R3/K1Nr2[] b	9	1	((1, 4), (1, 3), None)	-1955	10	1
3n2/3Bkp/6/P3r1/6/1KN3[Br] b	9	1	((1, 4), (1, 3), None)	-2155	10	1
3n2/3Bkp/6/P3r1/B5/1KN3[r] b	9	1	((0, 3), (1, 1), None)	-2123	10	1
3n2/3Bkp/6/P5/2r3/K1N3[br] b	11	1	((4, 2), (5, 2), None)	-1000000	3	1
3n2/3Bkp/6/PB2r1/6/1KN3[r] b	9	1	((0, 3), (1, 1), None)	-1589	10	1
3n2/3N1p/4k1/4r1/P5/K2B2[Br] b	9	1	((2, 4), (1, 3), None)	-1659	10	1
3n2/3Nkp/1R2b1/4r1/P5/K2B2[] b	7	1	((1, 4), (1, 3), None)	-1622	10	1
3n2/3Nkp/4b1/1B4/P4r/K1R3[] b	11	1	((2, 4), (1, 3), None)	-1206	10	1
3n2/3Nkp/4b1/1B4/P4r/K2R2[] b	11	1	((0, 3), (1, 1), None)	-56	10	1
3n2/3Nkp/4b1/1B4/P4r/K3R1[] b	11	1	((4, 5), (3, 5), None)	-101	10	1
3n2/3Nkp/4b1/1B4/P4r/KR4[] w	10	1	((5, 1), (5, 4), None)	56	6	1
3n2/3Nkp/4b1/1B4/P4r/KR4[] w	10	2	((5, 1), (5, 3), None)	-9	6	1
3n2/3Nkp/4b1/1B4/P4r/KR4[] w	10	3	((1, 3), (3, 4), None)	-413	6	1
3n2/3Nkp/4b1/1B4/P4r/KR4[] w	10	4	((5, 1), (5, 2), None)	-425	6	1
3n2/3Nkp/4b1/1B4/P4r/KR4[] w	10	5	((1, 3), (2, 1), None)	-452	6	1
3n2/3Nkp/4b1/1B4/P4r/KR4[] w	10	6	((1, 3), (3, 2), None)	-614	6	1
3n2/3Nkp/6/1B4/P3r1/1K4[Br] b	11	1	('drop', 'bR'  , (5, 4))	-967	10	1
3n2/3Nkp/6/1B4/P3r1/Kb4[r] w	10	1	((5, 0), (5, 1), None)	-632	6	1
3n2/3Nkp/6/1B4/P3r1/Kb4[r] w	10	2	((1, 3), (3, 2), None)	-1789	6	1
3n2/3Nkp/6/1B4/P3r1/Kb4[r] w	10	3	((1, 3), (2, 1), None)	-2069	6	1
3n2/3Nkp/6/1B4/P3r1/Kb4[r] w	10	4	((1, 3), (3, 4), None)	-2470	6	1
3n2/3Nkp/6/1B4/P3r1/Kb4[r] w	10	5	((1, 3), (2, 5), None)	-3303	6	1
3n2/3Nkp/6/1B4/P3r1/Kb4[r] w	10	6	((1, 3), (0, 1), None)	-3335	6	1
3n2/3R1k/b5/1N4/PK4/6[Pbr] b	11	1	((1, 5), (0, 4), None)	-665	10	1
3n2/3R1p/3k1b/6/P5/K1Nr2[B] b	11	1	((2, 3), (1, 3), None)	-1294	10	1
3n2/3R1p/3k2/6/P5/K1Nr2[Bb] b	9	1	((2, 3), (1, 3), None)	-1467	10	1
3n2/3R1p/3k2/P5/6/K1Nr2[Bb] b	9	1	((2, 3), (1, 3), None)	-816	10	1
3n2/3R1p/5k/4r1/P3b1/K2B2[n] b	11	1	((4, 4), (5, 3), None)	-1065	10	1
3n2/3b1k/1P4/2r3/P5/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/1R4/2r3/P5/K1N3[Pb] b	9	1	((3, 2), (5, 2), None)	-4021	10	1
3n2/3b1k/2P3/2r3/P5/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/3P2/2r3/P5/KRN3[b] b	9	1	((3, 2), (4, 2), None)	-1000000	10	1
3n2/3b1k/4P1/2r3/P5/KRN3[b] b	9	1	((0, 3), (2, 4), None)	-2248	10	1
3n2/3b1k/5P/2r3/P5/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/1N2r1/PP4/KR4[b] b	11	1	((1, 3), (3, 1), None)	-985	10	1
3n2/3b1k/6/1Nr3/P5/KR4[Pb] b	9	1	('drop', 'bB'  , (1, 4))	-768	10	1
3n2/3b1k/6/1P2r1/P5/KRN3[b] b	11	1	('drop', 'bB'  , (3, 2))	-2460	10	1
3n2/3b1k/6/1Pr3/P5/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/1Rr3/P5/K1N3[Pb] b	9	1	((3, 2), (5, 2), None)	-1000000	9	1
3n2/3b1k/6/2r1P1/P5/KRN3[b] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	7	1
3n2/3b1k/6/2r2P/P5/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/2r3/P1P3/KRN3[b] b	9	1	((3, 2), (4, 2), None)	-1000000	9	1
3n2/3b1k/6/2r3/P2P2/KRN3[b] b	9	1	((3, 2), (4, 2), None)	-1000000	10	1
3n2/3b1k/6/2r3/P3N1/KR4[Pb] b	9	1	('drop', 'bB'  , (1, 4))	-599	10	1
3n2/3b1k/6/2r3/P3P1/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/2r3/P4P/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/2r3/P5/KRN1P1[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/2r3/P5/KRN2P[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/2r3/P5/KRNP2[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	4	1
3n2/3b1k/6/2r3/PK4/1RN3[Pb] b	9	1	('drop', 'bB'  , (1, 4))	-2327	10	1
3n2/3b1k/6/2r3/PP4/KRN3[b] b	9	1	((3, 2), (3, 4), None)	-908	10	1
3n2/3b1k/6/2r3/PR4/K1N3[Pb] b	9	1	((3, 2), (5, 2), None)	-1000000	3	1
3n2/3b1k/6/2rN2/P5/KR4[Pb] b	9	1	((3, 2), (3, 3), None)	-1975	10	1
3n2/3b1k/6/2rP2/P5/KRN3[b] b	9	1	((3, 2), (4, 2), None)	-3372	10	1
3n2/3b1k/6/3Nr1/PP4/KR4[b] b	11	1	((3, 4), (3, 3), None)	-1907	10	1
3n2/3b1k/6/4r1/PP2N1/KR4[b] b	11	1	((3, 4), (4, 4), None)	-3307	10	1
3n2/3b1k/6/P1r3/6/KRN3[Pb] b	9	1	('drop', 'bB'  , (2, 3))	-1000000	8	1
3n2/3b1k/6/P1r3/P5/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1k/6/P3r1/1P4/KRN3[b] b	11	1	('drop', 'bB'  , (1, 4))	-2294	10	1
3n2/3b1k/P5/2r3/P5/KRN3[b] b	9	1	('drop', 'bB'  , (0, 5))	-1000000	5	1
3n2/3b1p/1R1k2/4r1/P5/K2B2[n] b	9	1	((2, 3), (3, 2), None)	-1311	10	1
3n2/3b1p/3k2/1B2r1/P5/KR4[n] b	9	1	((1, 3), (3, 1), None)	-1403	10	1
3n2/3b1p/3k2/1R2r1/P5/K2B2[n] b	9	1	((1, 3), (3, 1), None)	-1899	10	1
3n2/3b1p/3k2/4r1/P1B3/KR4[n] b	9	1	((2, 3), (1, 4), None)	-1339	10	1
3n2/3b1p/3k2/4r1/P3B1/KR4[n] b	9	1	((3, 4), (4, 4), None)	-1000000	8	1
3n2/3b1p/3k2/4r1/P5/K1RB2[n] b	9	1	((3, 4), (5, 4), None)	-2147	10	1
3n2/3b1p/3k2/4r1/PK4/1R1B2[n] b	9	1	((1, 3), (2, 4), None)	-2910	10	1
3n2/3b1p/3k2/4r1/PR4/K2B2[n] b	9	1	((3, 4), (5, 4), None)	-1858	10	1
3n2/3b1p/3k2/4rB/P5/KR4[n] b	9	1	((3, 4), (3, 5), None)	-1000000	10	1
3n2/3b1p/3k2/P3r1/6/KR1B2[n] b	9	1	((3, 4), (3, 0), None)	-1000000	3	1
3n2/3b1p/5k/1P1R2/2B3/K5[nr] b	11	1	((1, 3), (2, 4), None)	-1606	10	1
3n2/3b1p/5k/1P4/1KB3/6[Rnr] b	11	1	('drop', 'bR'  , (4, 4))	-1312	10	1
3n2/3b1p/5k/1P4/2B3/1K4[Rnr] b	11	1	('drop', 'bR'  , (4, 5))	-1343	10	1
3n2/3b1p/5k/1P4/2B3/K5[Rnr] w	10	1	((5, 0), (4, 1), None)	-1067	6	1
3n2/3b1p/5k/1P4/2B3/K5[Rnr] w	10	2	((5, 0), (4, 0), None)	-1072	6	1
3n2/3b1p/5k/1P4/2B3/K5[Rnr] w	10	3	('drop', 'wR'  , (3, 3))	-1166	6	1
3n2/3b1p/5k/1P4/2B3/K5[Rnr] w	10	4	((5, 0), (5, 1), None)	-1172	6	1
3n2/3b1p/5k/1P4/2B3/K5[Rnr] w	10	5	('drop', 'wR'  , (4, 3))	-1222	6	1
3n2/3b1p/5k/1P4/2B3/K5[Rnr] w	10	6	('drop', 'wR'  , (2, 0))	-1229	6	1
3n2/3b1p/5k/1P4/2BR2/K5[nr] b	11	1	((2, 5), (1, 4), None)	-1402	10	1
3n2/3b1p/5k/1P4/K1B3/6[Rnr] b	11	1	('drop', 'bR'  , (4, 5))	-1908	10	1
3n2/3b1p/B2k2/4r1/P5/KR4[n] b	9	1	('drop', 'bN'  , (3, 2))	-1733	10	1
3n2/3b1p/R4k/1P4/2B3/K5[nr] b	11	1	((0, 3), (2, 4), None)	-1428	10	1
3n2/3bPk/6/2r3/P5/KRN3[b] b	9	1	((1, 5), (1, 4), None)	-1992	10	1
3n2/3bbk/3N2/2r3/P5/KR4[P] b	11	1	((1, 4), (2, 3), None)	-1000000	7	1
3n2/3bbk/3P2/1Nr3/P5/KR4[] b	11	1	((3, 2), (3, 1), None)	-1287	10	1
3n2/3bbk/3P2/2r3/P3N1/KR4[] b	11	1	((3, 2), (3, 0), None)	-640	10	1
3n2/3bbk/4P1/1Nr3/P5/KR4[] b	11	1	((0, 3), (2, 4), None)	-1000000	8	1
3n2/3bbk/4P1/2r3/P3N1/KR4[] b	11	1	((1, 5), (2, 4), None)	-2073	10	1
3n2/3bbk/6/1Nr3/P5/K4R[P] b	11	1	((3, 2), (3, 5), None)	-2803	10	1
3n2/3bbk/6/1Nr3/P5/KR4[P] w	10	1	('drop', 'wP'  , (4, 1))	-499	6	1
3n2/3bbk/6/1Nr3/P5/KR4[P] w	10	2	((5, 1), (4, 1), None)	-731	6	1
3n2/3bbk/6/1Nr3/P5/KR4[P] w	10	3	('drop', 'wP'  , (2, 3))	-798	6	1
3n2/3bbk/6/1Nr3/P5/KR4[P] w	10	4	('drop', 'wP'  , (2, 4))	-1771	6	1
3n2/3bbk/6/1Nr3/P5/KR4[P] w	10	5	((5, 1), (5, 5), None)	-2260	6	1
3n2/3bbk/6/1Nr3/P5/KR4[P] w	10	6	((3, 1), (2, 3), None)	-2470	6	1
3n2/3bbk/6/1Nr3/PP4/KR4[] b	11	1	((3, 2), (4, 2), None)	-1004	10	1
3n2/3bbk/6/1Nr3/PR4/K5[P] b	11	1	((0, 3), (2, 2), None)	-1393	10	1
3n2/3bbk/6/2N3/P5/KR4[PR] b	11	1	((1, 4), (3, 2), None)	-990	10	1
3n2/3bbk/6/2r3/P3N1/KR4[P] w	10	1	('drop', 'wP'  , (2, 3))	39	6	1
3n2/3bbk/6/2r3/P3N1/KR4[P] w	10	2	((4, 4), (3, 2), None)	-253	6	1
3n2/3bbk/6/2r3/P3N1/KR4[P] w	10	3	((5, 1), (4, 1), None)	-658	6	1
3n2/3bbk/6/2r3/P3N1/KR4[P] w	10	4	('drop', 'wP'  , (4, 1))	-928	6	1
3n2/3bbk/6/2r3/P3N1/KR4[P] w	10	5	('drop', 'wP'  , (2, 4))	-1292	6	1
3n2/3bbk/6/2r3/P3N1/KR4[P] w	10	6	((5, 0), (4, 1), None)	-1378	6	1
3n2/3bbk/6/2r3/PK2N1/1R4[P] b	11	1	((3, 2), (3, 4), None)	-2810	10	1
3n2/3bbk/6/2r3/PP2N1/KR4[] b	11	1	((3, 2), (4, 2), None)	-888	10	1
3n2/3bbk/6/2r3/PR2N1/K5[P] b	11	1	((3, 2), (3, 3), None)	-1291	10	1
3n2/3bk1/1R1N1p/2r3/P5/K2B2[] b	11	1	((3, 2), (5, 2), None)	-1083	10	1
3n2/3bk1/1R2p1/2N3/P5/K5[Rb] w	12	1	('drop', 'wR'  , (1, 0))	908	10	1
3n2/3bk1/1R3p/P5/1K4/2Nr2[B] w	12	1	((4, 1), (4, 2), None)	398	10	1
3n2/3bk1/3N1p/1Br3/P5/KR4[] b	11	1	((1, 4), (2, 3), None)	-480	10	1
3n2/3bk1/3N1p/2r3/P5/KR1B2[] w	10	1	((5, 3), (3, 1), None)	-37	6	1
3n2/3bk1/3N1p/2r3/P5/KR1B2[] w	10	2	((2, 3), (4, 2), None)	-188	6	1
3n2/3bk1/3N1p/2r3/P5/KR1B2[] w	10	3	((2, 3), (1, 1), None)	-242	6	1
3n2/3bk1/3N1p/2r3/P5/KR1B2[] w	10	4	((2, 3), (4, 4), None)	-269	6	1
3n2/3bk1/3N1p/2r3/P5/KR1B2[] w	10	5	((2, 3), (3, 1), None)	-530	6	1
3n2/3bk1/3N1p/2r3/P5/KR1B2[] w	10	6	((5, 1), (2, 1), None)	-754	6	1
3n2/3bk1/5p/1Nr3/P3B1/K1R3[] b	11	1	((3, 2), (3, 4), None)	-290	10	1
3n2/3bk1/5p/1Nr3/P3B1/K4R[] b	11	1	((1, 3), (3, 1), None)	-763	10	1
3n2/3bk1/5p/1Nr3/P3B1/KR4[] w	10	1	((4, 4), (5, 5), None)	-198	6	1
3n2/3bk1/5p/1Nr3/P3B1/KR4[] w	10	2	((4, 4), (0, 0), None)	-243	6	1
3n2/3bk1/5p/1Nr3/P3B1/KR4[] w	10	3	((5, 1), (4, 1), None)	-280	6	1
3n2/3bk1/5p/1Nr3/P3B1/KR4[] w	10	4	((5, 1), (5, 2), None)	-300	6	1
3n2/3bk1/5p/1Nr3/P3B1/KR4[] w	10	5	((3, 1), (4, 3), None)	-392	6	1
3n2/3bk1/5p/1Nr3/P3B1/KR4[] w	10	6	((5, 1), (5, 5), None)	-529	6	1
3n2/3bk1/5p/1Nr3/P5/KR1B2[] b	11	1	((0, 3), (2, 4), None)	-435	10	1
3n2/3bk1/5p/1Nr3/P5/KR3B[] b	11	1	((0, 3), (1, 5), None)	-312	10	1
3n2/3bk1/5p/1Nr3/PR2B1/K5[] b	11	1	((0, 3), (2, 4), None)	-455	10	1
3n2/3bk1/5p/2r3/P1N3/KR1B2[] b	11	1	((1, 3), (2, 4), None)	-520	10	1
3n2/3bk1/5p/2r3/P2NB1/KR4[] b	11	1	((3, 2), (4, 2), None)	-328	10	1
3n2/3bk1/5p/2r3/P3N1/KR1B2[] b	11	1	((3, 2), (3, 3), None)	-278	10	1
3n2/3bkB/6/6/PR1r2/K5[Pn] b	11	1	((4, 3), (4, 1), None)	-1970	10	1
3n2/3bkp/1R4/1B4/P2r2/K5[n] b	11	1	('drop', 'bN'  , (3, 3))	-2468	10	1
3n2/3bkp/1R4/1B4/P3r1/K5[n] b	9	1	('drop', 'bN'  , (3, 3))	-2528	10	1
3n2/3bkp/1R4/2r3/P5/K2B2[n] b	9	1	((0, 3), (2, 2), None)	-1851	10	1
3n2/3bkp/1R4/4r1/P1BN2/K5[] b	11	1	((3, 4), (4, 4), None)	-1189	10	1
3n2/3bkp/1R4/4r1/P2N2/K4B[] b	11	1	((3, 4), (5, 4), None)	-299	10	1
3n2/3bkp/1R4/4r1/P3N1/K2B2[] b	7	1	((3, 4), (4, 4), None)	-903	10	1
3n2/3bkp/1R4/4r1/PK3N/3B2[] b	9	1	((1, 3), (0, 4), None)	-126	10	1
3n2/3bkp/1R4/6/P1B1r1/K5[n] b	9	1	((4, 4), (4, 2), None)	-1000000	5	1
3n2/3bkp/1R4/6/P1BNr1/K5[] b	9	1	((4, 4), (4, 3), None)	-1437	10	1
3n2/3bkp/1R4/6/P1n1B1/1K4[R] b	11	1	((4, 2), (2, 1), None)	-1782	10	1
3n2/3bkp/1R4/6/P3B1/K5[Rn] b	9	1	('drop', 'bN'  , (4, 2))	-1122	10	1
3n2/3bkp/1R4/6/P3r1/1K1B2[n] b	9	1	((4, 4), (4, 0), None)	-1000000	7	1
3n2/3bkp/1R4/6/PKn1B1/6[R] b	11	1	((4, 2), (2, 1), None)	-1163	10	1
3n2/3bkp/1R4/P5/4r1/K2B2[n] b	9	1	((4, 4), (4, 0), None)	-2286	10	1
3n2/3bkp/1R4/r5/3N2/1K1B2[p] b	11	1	((0, 3), (2, 4), None)	-939	10	1
3n2/3bkp/1R4/r5/P3N1/K2B2[] b	9	1	((3, 0), (4, 0), None)	-1366	10	1
3n2/3bkp/2R3/6/P3r1/K2B2[n] b	9	1	((0, 3), (2, 2), None)	-1000000	4	1
3n2/3bkp/3N2/4r1/P1B3/K2R2[] b	11	1	((1, 5), (2, 5), None)	13	10	1
3n2/3bkp/3N2/4r1/P5/KR1B2[] b	7	1	((1, 4), (2, 3), None)	-1140	10	1
3n2/3bkp/3N2/P3r1/6/KR3B[] b	11	1	((3, 4), (3, 0), None)	-1845	10	1
3n2/3bkp/3R2/6/P3r1/K2B2[n] b	9	1	((4, 4), (4, 0), None)	-1000000	3	1
3n2/3bkp/4R1/6/P3r1/K2B2[n] b	9	1	((1, 3), (2, 4), None)	-1000000	4	1
3n2/3bkp/5N/4r1/P5/KR1B2[] b	7	1	((1, 4), (2, 5), None)	-1274	10	1
3n2/3bkp/5R/6/P3r1/K2B2[n] b	9	1	((4, 4), (4, 0), None)	-1000000	3	1
3n2/3bkp/6/1B2r1/P2N2/KR4[] b	11	1	((1, 3), (3, 1), None)	-185	10	1
3n2/3bkp/6/1B2r1/P3N1/KR4[] b	7	1	((1, 3), (3, 1), None)	-1289	10	1
3n2/3bkp/6/1B2r1/PR2N1/K5[] b	11	1	((1, 3), (3, 5), None)	-250	10	1
3n2/3bkp/6/1B4/PR1r2/K5[n] b	11	1	((4, 3), (4, 1), None)	-1189	10	1
3n2/3bkp/6/1Br3/P5/KR4[n] b	9	1	((3, 2), (3, 1), None)	-1460	10	1
3n2/3bkp/6/1N1Br1/P5/K2R2[] b	11	1	((1, 3), (3, 1), None)	-114	10	1
3n2/3bkp/6/1N2r1/P1B2R/K5[] b	11	1	((0, 3), (2, 4), None)	-295	10	1
3n2/3bkp/6/1N2r1/P1B3/1K1R2[] b	11	1	((1, 3), (3, 1), None)	-360	10	1
3n2/3bkp/6/1N2r1/P1B3/1KR3[] b	11	1	((0, 3), (2, 2), None)	-221	10	1
3n2/3bkp/6/1N2r1/P1B3/K1R3[] b	11	1	((0, 3), (1, 1), None)	-145	10	1
3n2/3bkp/6/1N2r1/P1B3/K1R3[] w	10	1	((5, 2), (5, 3), None)	-26	6	1
3n2/3bkp/6/1N2r1/P1B3/K1R3[] w	10	2	((4, 2), (5, 3), None)	-129	6	1
3n2/3bkp/6/1N2r1/P1B3/K1R3[] w	10	3	((5, 2), (5, 1), None)	-165	6	1
3n2/3bkp/6/1N2r1/P1B3/K1R3[] w	10	4	((5, 0), (4, 1), None)	-210	6	1
3n2/3bkp/6/1N2r1/P1B3/K1R3[] w	10	5	((5, 0), (5, 1), None)	-210	6	1
3n2/3bkp/6/1N2r1/P1B3/K1R3[] w	10	6	((5, 2), (5, 5), None)	-242	6	1
3n2/3bkp/6/1N2r1/P1B3/K2R2[] b	11	1	((1, 5), (2, 5), None)	3	10	1
3n2/3bkp/6/1N2r1/P1B3/K2R2[] w	10	1	((3, 1), (5, 2), None)	254	6	1
3n2/3bkp/6/1N2r1/P1B3/K2R2[] w	10	2	((5, 0), (5, 1), None)	136	6	1
3n2/3bkp/6/1N2r1/P1B3/K2R2[] w	10	3	((5, 3), (5, 5), None)	85	6	1
3n2/3bkp/6/1N2r1/P1B3/K2R2[] w	10	4	((5, 3), (4, 3), None)	-61	6	1
3n2/3bkp/6/1N2r1/P1B3/K2R2[] w	10	5	((3, 1), (2, 3), None)	-68	6	1
3n2/3bkp/6/1N2r1/P1B3/K2R2[] w	10	6	((5, 0), (4, 1), None)	-98	6	1
3n2/3bkp/6/1N2r1/P1B3/K4R[] b	11	1	((1, 5), (2, 5), None)	-146	10	1
3n2/3bkp/6/1N2r1/P1B3/K4R[] w	10	1	((5, 5), (5, 3), None)	156	6	1
3n2/3bkp/6/1N2r1/P1B3/K4R[] w	10	2	((3, 1), (5, 2), None)	76	6	1
3n2/3bkp/6/1N2r1/P1B3/K4R[] w	10	3	((5, 0), (4, 1), None)	-47	6	1
3n2/3bkp/6/1N2r1/P1B3/K4R[] w	10	4	((3, 1), (1, 2), None)	-66	6	1
3n2/3bkp/6/1N2r1/P1B3/K4R[] w	10	5	((5, 5), (4, 5), None)	-123	6	1
3n2/3bkp/6/1N2r1/P1B3/K4R[] w	10	6	((5, 5), (5, 2), None)	-242	6	1
3n2/3bkp/6/1N2r1/P1B3/KR4[] b	11	1	((1, 5), (2, 5), None)	-170	10	1
3n2/3bkp/6/1N2r1/P1BR2/K5[] b	11	1	((3, 4), (5, 4), None)	-387	10	1
3n2/3bkp/6/1N2r1/P5/K1R2B[] w	10	1	((3, 1), (1, 0), None)	-39	6	1
