# minichess opening book export
# format_version	1
# store	book
# db_schema_version	2
# eval_version	1
# rows	92678
# sorted by (fen, rank); no timestamp, so an unchanged book re-exports identically
# fen	ply	rank	move	score	depth	eval_version
1B1nk1/5p/5b/P1R3/6/1KNr2[] b	11	1	((0, 3), (2, 4), None)	-639	10	1
1B1nk1/5p/5b/P5/2R3/1KNr2[] b	11	1	((0, 3), (2, 4), None)	-578	10	1
1B1nk1/5p/5b/P5/2R3/K1Nr2[] b	11	1	((2, 5), (5, 2), None)	-1513	10	1
1B1nk1/R4p/5b/P5/6/K1Nr2[] b	11	1	((2, 5), (5, 2), None)	-2366	10	1
1B2R1/4kp/4n1/6/P5/K1Nr2[b] b	9	1	((1, 4), (0, 4), None)	-1000000	9	1
1B2rk/3n1p/1R4/6/P5/K1N3[b] b	9	1	('drop', 'bB'  , (3, 2))	-2599	10	1
1B2rk/5p/6/5B/n5/K1R3[pn] b	9	1	((4, 0), (5, 2), None)	-2800	10	1
1B2rk/5p/6/5n/P5/K1R3[nb] b	9	1	((0, 4), (0, 1), None)	-1000000	6	1
1B3R/4kp/4n1/6/P5/K1Nr2[b] b	9	1	((1, 4), (0, 5), None)	-1000000	9	1
1B3k/1n3p/2R3/6/P3r1/K5[nb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
1B3k/1n3p/2r3/6/PK4/1RN3[b] b	11	1	((2, 2), (2, 1), None)	-1608	10	1
1B3k/1n3p/6/1P2r1/5N/K2B2[r] b	9	1	('drop', 'bR'  , (0, 0))	-2317	10	1
1B3k/1n3p/6/6/P5/K1NBr1[r] b	9	1	((5, 4), (5, 3), None)	-1000000	7	1
1B3k/1n3p/6/P5/4r1/K1R3[nb] b	9	1	('drop', 'bN'  , (3, 1))	-1000000	2	1
1B3k/1nR2p/6/6/P3r1/K5[nb] b	9	1	('drop', 'bB'  , (4, 1))	-1000000	2	1
1B3k/1nr2p/6/6/P1B3/K1N3[r] b	9	1	((1, 2), (4, 2), None)	-1000000	7	1
1B3k/1nr2p/6/6/PK4/1RN3[b] b	9	1	('drop', 'bB'  , (3, 0))	-1026	10	1
1B3k/1nr2p/6/b5/P5/KRN3[] b	11	1	((1, 1), (2, 3), None)	-1000000	6	1
1B3k/1nr2p/6/bK4/P5/1RN3[] b	11	1	((1, 2), (5, 2), None)	-1123	10	1
1B3k/1nr3/4p1/1R4/P5/1KN3[b] b	11	1	((1, 2), (1, 3), None)	-345	10	1
1B3k/5p/1N2n1/6/P3r1/KR4[b] b	9	1	('drop', 'bB'  , (3, 2))	-1000000	2	1
1B3k/5p/4n1/6/P5/KRN1r1[b] b	9	1	('drop', 'bB'  , (3, 2))	-1000000	2	1
1B3k/5p/4r1/4n1/P5/K1NB2[r] b	9	1	((3, 4), (5, 3), None)	-1000000	9	1
1B3k/5p/B1n3/6/4r1/KR4[pn] b	9	1	((4, 4), (4, 3), None)	-1770	10	1
1B4/1b2kp/2R1n1/6/P5/K1Nr2[] b	11	1	((1, 1), (2, 2), None)	-1000000	8	1
1B4/1b2kp/4n1/6/P1R3/1KNr2[] b	11	1	((1, 1), (3, 3), None)	-852	10	1
1B4/1b2kp/4n1/6/P1R3/K1Nr2[] b	11	1	((1, 1), (3, 3), None)	-1178	10	1
1B4/1bR1kp/4n1/6/P5/1KNr2[] b	11	1	((2, 4), (1, 2), None)	-1566	10	1
1B4/1bR1kp/4n1/6/P5/K1Nr2[] b	11	1	((2, 4), (1, 2), None)	-3256	10	1
1B4/1n2kp/5N/4r1/P5/K2B2[r] b	9	1	((1, 1), (3, 0), None)	-1000000	7	1
1B4/2R1kp/4n1/6/P5/K1Nr2[b] b	9	1	((2, 4), (1, 2), None)	-1000000	7	1
1B4/4kp/2R1n1/3b2/P5/K1Nr2[] b	11	1	((3, 3), (2, 2), None)	-1000000	8	1
1B4/4kp/2R1n1/6/P5/K1Nr2[b] b	9	1	('drop', 'bB'  , (3, 3))	-1588	10	1
1B4/4kp/4n1/2R3/P5/K1Nr2[b] b	9	1	((2, 4), (3, 2), None)	-3700	10	1
1B4/4kp/4n1/3b2/P1R3/1KNr2[] b	11	1	((3, 3), (4, 2), None)	-1460	10	1
1B4/4kp/4n1/3b2/P1R3/K1Nr2[] w	10	1	((5, 0), (4, 1), None)	-1153	6	1
1B4/4kp/4n1/3b2/P1R3/K1Nr2[] w	10	2	((5, 0), (5, 1), None)	-1153	6	1
1B4/4kp/4n1/3b2/P1R3/K1Nr2[] w	10	3	((0, 1), (1, 0), None)	-1514	6	1
1B4/4kp/4n1/3b2/P1R3/K1Nr2[] w	10	4	((4, 2), (0, 2), None)	-1600	6	1
1B4/4kp/4n1/3b2/P1R3/K1Nr2[] w	10	5	((0, 1), (2, 3), None)	-1638	6	1
1B4/4kp/4n1/3b2/P1R3/K1Nr2[] w	10	6	((0, 1), (3, 4), None)	-1647	6	1
1B4/4kp/4n1/3b2/PKR3/2Nr2[] b	11	1	((3, 3), (4, 2), None)	-1522	10	1
1B4/4kp/4n1/6/P1R3/K1Nr2[b] b	9	1	('drop', 'bB'  , (3, 3))	-1178	10	1
1B4/4kp/4n1/6/PKRr2/2N3[b] b	11	1	((4, 3), (4, 2), None)	-1368	10	1
1BB1k1/5p/6/n5/6/KRN1r1[p] b	9	1	((3, 0), (5, 1), None)	-1630	10	1
1BB1k1/5p/6/n5/6/KRN2r[p] b	11	1	((3, 0), (5, 1), None)	-1583	10	1
1BB1rk/5p/6/6/PK4/2n3[nr] b	9	1	('drop', 'bN'  , (3, 3))	-1000000	8	1
1BR3/1b2kp/4n1/6/P1K3/2Nr2[] b	11	1	((5, 3), (4, 3), None)	-1659	10	1
1BR3/1b2kp/4n1/6/P5/1KNr2[] b	11	1	((1, 1), (0, 2), None)	-1000000	10	1
1BR3/1b2kp/4n1/6/P5/1KNr2[] w	10	1	((0, 2), (4, 2), None)	-699	6	1
1BR3/1b2kp/4n1/6/P5/1KNr2[] w	10	2	((0, 2), (1, 2), None)	-1125	6	1
1BR3/1b2kp/4n1/6/P5/1KNr2[] w	10	3	((0, 1), (3, 4), None)	-1562	6	1
1BR3/1b2kp/4n1/6/P5/1KNr2[] w	10	4	((5, 1), (4, 2), None)	-1601	6	1
1BR3/1b2kp/4n1/6/P5/1KNr2[] w	10	5	((5, 1), (4, 1), None)	-1623	6	1
1BR3/1b2kp/4n1/6/P5/1KNr2[] w	10	6	((0, 1), (2, 3), None)	-1697	6	1
1BR3/1b2kp/4n1/6/P5/K1Nr2[] w	10	1	((0, 2), (4, 2), None)	-899	6	1
1BR3/1b2kp/4n1/6/P5/K1Nr2[] w	10	2	((0, 1), (2, 3), None)	-1593	6	1
1BR3/1b2kp/4n1/6/P5/K1Nr2[] w	10	3	((5, 0), (4, 1), None)	-1621	6	1
1BR3/1b2kp/4n1/6/P5/K1Nr2[] w	10	4	((0, 1), (1, 0), None)	-1661	6	1
1BR3/1b2kp/4n1/6/P5/K1Nr2[] w	10	5	((0, 1), (3, 4), None)	-1959	6	1
1BR3/1b2kp/4n1/6/P5/K1Nr2[] w	10	6	((5, 0), (5, 1), None)	-1959	6	1
1BR3/1b2kp/4n1/6/PK4/2Nr2[] b	11	1	((1, 1), (0, 2), None)	-2192	10	1
1BR3/4kp/4n1/1K4/P2r2/2N3[b] b	11	1	('drop', 'bB'  , (1, 3))	-1875	10	1
1BR3/4kp/4n1/3b2/P5/K1Nr2[] b	11	1	((1, 4), (1, 3), None)	-1941	10	1
1BR3/4kp/4n1/4b1/P5/K1Nr2[] b	11	1	((3, 4), (5, 2), None)	-2687	10	1
1BR3/4kp/4n1/6/P2r2/1KN3[b] b	11	1	((1, 4), (1, 3), None)	-1096	10	1
1BR3/4kp/4n1/6/P2r2/K1N3[b] b	11	1	((1, 4), (1, 3), None)	-1964	10	1
1BR3/4kp/4n1/6/P5/1KNr2[b] b	9	1	('drop', 'bB'  , (1, 1))	-955	10	1
1BR3/4kp/4n1/6/P5/K1N1r1[b] b	11	1	('drop', 'bB'  , (4, 3))	-1153	10	1
1BR3/4kp/4n1/6/P5/K1Nr2[b] b	9	1	('drop', 'bB'  , (1, 1))	-1153	10	1
1BR3/4kp/4n1/6/PK4/2Nr2[b] b	9	1	((5, 3), (4, 3), None)	-847	10	1
1BR3/4kp/4n1/K5/P2r2/2N3[b] b	11	1	((1, 4), (1, 3), None)	-1473	10	1
1BR3/4kp/4n1/P3b1/6/1KNr2[] b	11	1	((3, 4), (5, 2), None)	-852	10	1
1BR3/4kp/4n1/P5/6/K1N1r1[b] b	11	1	('drop', 'bB'  , (3, 2))	-729	10	1
1BR3/4kp/4n1/P5/6/K1Nr2[b] b	9	1	((1, 4), (1, 3), None)	-1416	10	1
1BR3/5p/4nk/P5/6/K1Nr2[b] b	11	1	('drop', 'bB'  , (3, 2))	-1059	10	1
1BRn1k/5p/6/6/PK4/3r2[nb] b	9	1	('drop', 'bB'  , (2, 4))	-2949	10	1
1BRn2/3k1p/6/6/P5/K1Nr2[b] b	9	1	((1, 3), (0, 2), None)	-1000000	9	1
1BRn2/4kp/5b/P5/1K4/2Nr2[] b	9	1	((2, 5), (5, 2), None)	-734	10	1
1BRn2/4kp/5b/P5/6/1KNr2[] b	9	1	((1, 4), (0, 4), None)	-610	10	1
1BRn2/4kp/5b/P5/6/K1Nr2[] b	9	1	((2, 5), (5, 2), None)	-1339	10	1
1BRn2/4kp/5b/P5/K5/2Nr2[] b	9	1	((2, 5), (5, 2), None)	-995	10	1
1BRn2/4kp/6/6/P5/K1Nr2[b] b	7	1	((0, 3), (2, 4), None)	-663	10	1
1BRn2/4kp/6/P1K3/6/2br2[n] b	11	1	((5, 2), (3, 0), None)	-2069	10	1
1BRn2/4kp/6/P3b1/6/K1Nr2[] b	9	1	((3, 4), (5, 2), None)	-1339	10	1
1BRn2/4kp/6/P5/1K4/2br2[n] w	10	1	((0, 2), (5, 2), None)	-384	6	1
1BRn2/4kp/6/P5/1K4/2br2[n] w	10	2	((4, 1), (3, 1), None)	-859	6	1
1BRn2/4kp/6/P5/1K4/2br2[n] w	10	3	((4, 1), (4, 2), None)	-947	6	1
1BRn2/4kp/6/P5/1K4/2br2[n] w	10	4	((4, 1), (4, 0), None)	-1019	6	1
1BRn2/4kp/6/P5/1K4/2br2[n] w	10	5	((4, 1), (5, 1), None)	-1859	6	1
1BRn2/4kp/6/P5/1K4/2br2[n] w	10	6	((4, 1), (5, 0), None)	-1859	6	1
1BRn2/4kp/6/P5/2K3/2br2[n] b	11	1	((5, 3), (5, 5), None)	-1428	10	1
1BRn2/4kp/6/P5/6/1Kbr2[n] b	11	1	((5, 2), (3, 0), None)	-2513	10	1
1BRn2/4kp/6/P5/6/K1Nr2[b] b	7	1	('drop', 'bB'  , (2, 5))	-636	10	1
1BRn2/4kp/6/P5/6/K1Nr2[b] w	10	1	((0, 2), (1, 2), None)	-451	6	1
1BRn2/4kp/6/P5/6/K1Nr2[b] w	10	2	((0, 2), (3, 2), None)	-541	6	1
1BRn2/4kp/6/P5/6/K1Nr2[b] w	10	3	((0, 1), (1, 0), None)	-597	6	1
1BRn2/4kp/6/P5/6/K1Nr2[b] w	10	4	((0, 1), (3, 4), None)	-666	6	1
1BRn2/4kp/6/P5/6/K1Nr2[b] w	10	5	((0, 2), (4, 2), None)	-679	6	1
1BRn2/4kp/6/P5/6/K1Nr2[b] w	10	6	((3, 0), (2, 0), None)	-703	6	1
1BRn2/4kp/6/P5/6/K1br2[n] b	11	1	((5, 2), (3, 0), None)	-2513	10	1
1BRn2/4kp/6/P5/K5/2br2[n] b	11	1	((5, 3), (4, 3), None)	-1323	10	1
1BRn2/4kp/6/P5/K5/2br2[n] w	10	1	((4, 0), (3, 1), None)	-859	6	1
1BRn2/4kp/6/P5/K5/2br2[n] w	10	2	((0, 2), (1, 2), None)	-940	6	1
1BRn2/4kp/6/P5/K5/2br2[n] w	10	3	((0, 2), (3, 2), None)	-950	6	1
1BRn2/4kp/6/P5/K5/2br2[n] w	10	4	((0, 2), (4, 2), None)	-1008	6	1
1BRn2/4kp/6/P5/K5/2br2[n] w	10	5	((0, 1), (1, 0), None)	-1009	6	1
1BRn2/4kp/6/P5/K5/2br2[n] w	10	6	((0, 1), (1, 2), None)	-1245	6	1
1BRn2/4kp/6/PK4/6/2br2[n] b	11	1	((5, 3), (3, 3), None)	-1433	10	1
1BRn2/4kp/6/b5/P5/K1Nr2[] b	9	1	((3, 0), (5, 2), None)	-1942	10	1
1BRn2/4kp/P4b/6/6/K1Nr2[] b	9	1	((2, 5), (5, 2), None)	-1113	10	1
1BRn2/4kp/P5/4b1/6/K1Nr2[] b	9	1	((3, 4), (0, 1), None)	-1151	10	1
1BRn2/4kp/P5/6/6/1Kbr2[n] b	11	1	((5, 2), (3, 4), None)	-1796	10	1
1BRn2/4kp/P5/6/6/K1Nr2[b] b	11	1	((1, 4), (0, 4), None)	-513	10	1
1BRn2/4kp/P5/6/6/K1br2[n] b	11	1	('drop', 'bN'  , (2, 1))	-2546	10	1
1BRn2/4kp/P5/6/6/K1br2[n] w	10	1	((5, 0), (5, 1), None)	-1016	6	1
1BRn2/4kp/P5/6/6/K1br2[n] w	10	2	((2, 0), (1, 0), None)	-1080	6	1
1BRn2/4kp/P5/6/6/K1br2[n] w	10	3	((0, 2), (1, 2), None)	-1394	6	1
1BRn2/4kp/P5/6/6/K1br2[n] w	10	4	((0, 1), (1, 0), None)	-1400	6	1
1BRn2/4kp/P5/6/6/K1br2[n] w	10	5	((0, 1), (1, 2), None)	-1441	6	1
1BRn2/4kp/P5/6/6/K1br2[n] w	10	6	((0, 1), (4, 5), None)	-1658	6	1
1BRn2/5p/4k1/6/P5/K1Nr2[b] b	11	1	('drop', 'bB'  , (3, 0))	-761	10	1
1BRn2/5p/4k1/P5/6/K1Nr2[b] b	9	1	((2, 4), (1, 4), None)	-566	10	1
1BRn2/P3kp/6/6/6/K1br2[n] b	11	1	('drop', 'bN'  , (2, 1))	-1436	10	1
1BRnk1/5p/5b/P5/1K4/2Nr2[] b	11	1	((2, 5), (5, 2), None)	-787	10	1
1BRnk1/5p/5b/P5/6/1KNr2[] w	10	1	((3, 0), (2, 0), None)	-514	6	1
1BRnk1/5p/5b/P5/6/1KNr2[] w	10	2	((0, 1), (1, 0), None)	-628	6	1
1BRnk1/5p/5b/P5/6/1KNr2[] w	10	3	((0, 2), (1, 2), None)	-633	6	1
1BRnk1/5p/5b/P5/6/1KNr2[] w	10	4	((0, 2), (3, 2), None)	-633	6	1
1BRnk1/5p/5b/P5/6/1KNr2[] w	10	5	((0, 2), (4, 2), None)	-633	6	1
1BRnk1/5p/5b/P5/6/1KNr2[] w	10	6	((5, 1), (4, 1), None)	-692	6	1
1BRnk1/5p/5b/P5/K5/2Nr2[] b	11	1	((2, 5), (5, 2), None)	-1385	10	1
1BRnk1/5p/P4b/6/6/1KNr2[] b	11	1	((2, 5), (5, 2), None)	-739	10	1
1Bb2k/5p/6/2N3/Pn4/K5[rr] b	11	1	((4, 1), (3, 3), None)	-1000000	10	1
1Bn2k/5p/4rN/6/P5/K2B2[r] b	9	1	((2, 4), (2, 5), None)	-3269	10	1
1Br1k1/5p/2n3/6/P1B3/K1N2r[] b	9	1	((5, 5), (5, 2), None)	-1000000	2	1
1Br1k1/5p/2n3/6/P5/K1NB2[r] b	7	1	((0, 2), (0, 1), None)	-1000000	5	1
1Br2k/3n1p/1R4/6/P5/K1N3[b] b	9	1	((0, 2), (5, 2), None)	-1000000	10	1
1Br2k/4np/6/1B4/P5/1KN2r[] b	9	1	((5, 5), (5, 2), None)	-1000000	9	1
1Br2k/4np/6/1B4/P5/K1N3[r] b	7	1	((0, 2), (5, 2), None)	-1000000	7	1
1Br2k/5p/2n3/1N4/P5/K2B1r[] b	7	1	((5, 5), (5, 3), None)	-1000000	2	1
1Br2k/5p/2n3/6/P1B3/1KN3[r] b	9	1	((0, 2), (0, 1), None)	-1000000	5	1
1Br2k/5p/2n3/6/P1B3/K1N2r[] b	7	1	((5, 5), (5, 2), None)	-1000000	2	1
1Br2k/5p/2n3/6/P3N1/K2B1r[] b	7	1	((5, 5), (5, 3), None)	-1000000	2	1
1Br2k/5p/2n3/6/P5/K1NB2[r] b	5	1	((0, 2), (0, 1), None)	-1000000	5	1
1Br2k/5p/6/1N4/P5/K5[Nbr] b	9	1	('drop', 'bR'  , (5, 3))	-1776	10	1
1Br2k/5p/6/1P4/6/K1N3[Nbr] b	9	1	('drop', 'bB'  , (1, 4))	-1000000	7	1
1Br2k/5p/6/3N2/P2n2/K2B2[r] b	7	1	('drop', 'bR'  , (5, 1))	-1000000	1	1
1Br2k/5p/B5/6/P2n2/K1N3[r] b	7	1	('drop', 'bR'  , (5, 1))	-1000000	1	1
1Brk2/5p/2n3/1B4/P5/K1N3[r] b	9	1	((0, 2), (0, 1), None)	-1000000	5	1
1Brn1k/5p/6/3N2/P5/K5[br] b	9	1	((0, 2), (0, 1), None)	-1000000	5	1
1Brn1k/5p/6/6/P1B3/K1N3[r] b	7	1	((0, 2), (0, 1), None)	-1000000	5	1
1Brn1k/5p/6/6/P3B1/1KN1r1[] b	9	1	((0, 2), (5, 2), None)	-1000000	7	1
1Brn1k/5p/6/P5/4B1/1KN1r1[] b	9	1	((0, 2), (5, 2), None)	-1000000	5	1
1Brnk1/5p/6/6/P1B3/K1N3[r] b	9	1	((0, 2), (4, 2), None)	-1000000	8	1
1N1k2/1b3p/5N/4r1/P5/K2B2[r] b	9	1	((3, 4), (5, 4), None)	-3760	10	1
1N1k2/3b1p/6/4r1/P4N/K2B2[r] b	9	1	((1, 3), (0, 4), None)	-2154	10	1
1N1k2/5p/6/6/P5/K1Nr2[Bbr] b	9	1	((5, 3), (5, 2), None)	-1000000	5	1
1N1k2/5p/6/P5/6/K1Nr2[Bbr] b	9	1	((5, 3), (5, 2), None)	-1000000	5	1
1N1n1k/1r3p/6/1b4/P5/1K4[Rb] b	11	1	((3, 1), (1, 3), None)	-2637	10	1
1N1n1k/3b1p/6/r5/P5/KR1B2[] b	7	1	((3, 0), (4, 0), None)	-1000000	1	1
1N1n1k/3b1p/6/r5/PRB3/K5[] b	11	1	((1, 3), (0, 4), None)	-196	10	1
